rseq,sseq,rtt,outbound,inbound
0,0,22.8271,12.9709,9.8562
1,1,26.6721,17.0817,9.5904
2,2,26.9463,16.9725,9.9738
3,3,26.6719,17.0147,9.6571
4,4,27.1797,16.9418,10.2379
5,5,27.2799,17.0076,10.2723
6,6,22.4609,11.9889,10.4721
7,7,22.4555,11.9624,10.4930
8,8,28.2876,16.9978,11.2898
9,9,26.8729,17.0023,9.8705
10,10,22.5646,12.0344,10.5302
11,11,28.8217,16.9866,11.8351
12,12,26.9904,17.0171,9.9733
13,13,22.0847,12.0056,10.0791
14,14,28.9128,16.9048,12.0080
15,15,27.2012,16.9783,10.2229
16,16,26.9017,16.9227,9.9790
17,17,27.2365,16.9728,10.2637
18,18,21.6126,11.9388,9.6738
19,19,28.2516,17.0302,11.2214
20,20,26.8924,17.0479,9.8445
21,21,26.7379,17.0100,9.7280
22,22,26.8738,17.0407,9.8331
23,23,26.9601,17.0836,9.8765
24,24,22.2170,12.0649,10.1521
25,25,22.1457,12.0239,10.1218
26,26,28.7619,17.0093,11.7526
27,27,27.2462,17.0290,10.2172
28,28,27.1292,17.0281,10.1011
29,29,27.1146,17.0426,10.0720
30,30,27.4661,17.0376,10.4284
31,31,26.6049,17.0619,9.5429
32,32,27.4458,17.0362,10.4096
33,33,22.5613,12.0349,10.5264
34,34,29.0713,17.0081,12.0633
35,35,27.0817,17.0162,10.0656
36,36,27.0035,16.9697,10.0338
37,37,27.1823,16.9885,10.1938
38,38,27.0283,16.9897,10.0386
39,39,22.3563,11.9948,10.3614
40,40,28.7211,17.0817,11.6394
41,41,27.1690,16.9482,10.2208
42,42,27.4796,17.0319,10.4477
43,43,27.2493,17.0434,10.2060
44,44,27.1277,17.0074,10.1204
45,45,27.0941,17.0183,10.0758
46,46,22.4905,11.9741,10.5164
47,47,26.9008,16.9721,9.9287
48,48,28.3797,18.5208,9.8588
49,49,26.5503,17.0059,9.5444
50,50,28.7020,17.0171,11.6849
51,51,26.6075,17.0009,9.6066
52,52,22.8462,12.1162,10.7300
53,53,28.6210,16.9845,11.6365
54,54,26.9880,16.9652,10.0229
55,55,26.4795,16.9928,9.4867
56,56,22.3663,11.9302,10.4361
57,57,28.9445,17.0016,11.9429
58,58,27.4935,16.9597,10.5338
59,59,27.1237,17.0109,10.1128
60,60,26.2122,17.0069,9.2053
61,61,27.1440,16.9845,10.1595
62,62,27.0767,17.0872,9.9895
63,63,22.2437,12.0142,10.2296
64,64,28.6877,17.0436,11.6441
65,65,27.0298,17.0467,9.9831
66,66,27.2806,17.0093,10.2713
67,67,27.5426,17.0681,10.4744
68,68,27.5064,16.9749,10.5314
69,69,27.6659,17.0000,10.6659
70,70,27.4422,17.0598,10.3824
71,71,22.2487,11.9522,10.2966
72,72,28.9581,17.0147,11.9433
73,73,22.1324,12.0416,10.0908
74,74,28.8813,17.1492,11.7321
75,75,22.2726,12.0759,10.1967
76,76,32.4941,17.0298,15.4643
77,77,27.2827,17.1204,10.1624
78,78,26.9480,17.0231,9.9249
79,79,28.0161,17.1285,10.8876
80,80,27.6864,17.1065,10.5798
81,81,27.5900,17.0074,10.5827
82,82,27.5569,17.0643,10.4926
83,83,26.2759,17.0434,9.2325
84,84,28.9333,17.0000,11.9333
85,85,27.0817,17.0062,10.0756
86,86,27.2415,17.0250,10.2165
87,87,27.3440,17.0162,10.3278
88,88,27.2293,16.9799,10.2494
89,89,26.6907,17.0498,9.6409
90,90,27.3080,17.0290,10.2789
91,91,27.4842,17.0119,10.4723
92,92,22.4755,12.0325,10.4430
93,93,22.5821,12.0475,10.5345
94,94,28.8105,17.0710,11.7395
95,95,27.1788,17.0131,10.1657
96,96,27.1525,17.0150,10.1376
97,97,27.1661,17.0534,10.1128
98,98,22.7449,12.5329,10.2119
99,99,29.0160,17.0994,11.9166
